Label,Messages
fraud,"Telenor customer your prize is 5 lakh 1 bike 1 freezer, call 3426079263,"
fraud,"Dear Telenor customer, your prize is out. For information, call 3090644740."
fraud,"75600 from Benazir Program Congratulations. for further Information, WhatsApp 3046153628"
fraud,"15600 from Benazir Program Congratulations., please call 3425319315"
fraud,"In the ARY JEETO PAKISTAN show, your number 2030306 is selected in the lucky draw. you have won a 2 lakh rupees cheque.3-gram gold. 1 laptop. contact me on WhatsApp,03401326799"
fraud,12000 aid has been approved from 8171 to 4157947. Call 3226707677
fraud,"In the MaheRamzan offer show, your number 4157947 is selected in a lucky draw in which you have won 2 lack rupees cheque, 5-gram gold, and 1 laptop contact me on my WhatsApp number 03433120919"
fraud,"In the jeeto Pakistan show, you Won a 1 Lakh rupees cheque, 13-gram gold, and 1 Laptop. send me a WhatsApp sms on this number 03209110309"
fraud,Dear customer your ATM card Has Been Blocked By State Bank Due To Non-Verification Yet If you Want To Keep Using Your ATM CARD Contact Us:3203239825
fraud,"15,900 towards Benazir income support, your fund has been approved. Your number is 03164157947. You were registered in BISP. Contact on this WhatsApp number, 03090172862"
fraud,Jeeto Pakistan all companies only your number 874523 is selected in a lucky draw and win a prize of 18500 rupees cheque and 1 bike contact us on WhatsApp number 03164157947
fraud,you are Jeeto Pakistan Lucky Winner and you have been selected from Jeeto Pakistan Lucky Winners List with a prize of an umrah ticket with your family. contact on our WhatsApp number.
fraud,"Congratulation! Jeeto Pakistan care is organizing all Pakistan SIM’s lucky draw every month and luckily your number is selected for 5 canal house in Islamabad, contact on our number 03129064455 please."
fraud,"With the support of the 5 most famous telecommunication companies Telenor PK, Mobilink Jazz, Ufone, Zong. You can be the Next Winner of Jeeto Pakistan to collect more information from the Jeeto Pakistan Lucky draw call back on our number 03358123766."
fraud,"For more information about jeeto Pakistan prizes announcement and for lucky draw information , call on our personal Head number which is 0912435123."
fraud,jeeto Pakistan is selecting the 5 winners for 200000 to 500000 cash prizes each month. You will be the next one so don't miss any opportunity of winning prizes contact on our whatsapp number 03312145322.
fraud,Call 042-33339292 and get the best insurance plans at just Rs 3 per day without any promises.
fraud,Deadline of getting exit permit for Overstaying Foreigners under General Amnesty . Apply through Pakistan Visa Online System to avoid penalty of 3 years imprisonment & blacklisting for future entry into Pakistan. Call on our number 0914325648.
fraud,"In Mah e Ramzan offer, your number 03429046107 send a message on 8038 which is selected for 1 lac rupees."
fraud,"your number is registered in 8038, and you are selected for a prize of a 5 lac cheque and 7-gram gold, 1 bike. call on our Whatsapp number 03415432667."
fraud,"Bol game show your number 03142345334 is selected in the lucky draw. you have won 1 bike and a 50,000 cash prize. Your Token number is 6984 call on our Whatsapp number 03142365778."
fraud,congratulation in the Bol game show your number 03456787655 is selected in the lucky draw call me back.
fraud,congratulation from the Benazir income support program you have won 31000 rupees cash.
fraud,"In Mah e Ramzan offer, your have won the prize of 10 lac rupees cheque and 1 bike, call on our whatsapp number 03412345766."
fraud,"Jeeto Pakistan care is organizing all Pakistan SIM’s lucky draw, your number is selected for honda 1000cc car."
fraud,"your number is selected in the Lucky winner list which is announced by the Bol game show, just call us on number 0312643778"
fraud,Dear Customer your ATM Card has Been Blocked BY your Bank Due To Non-Verification of the biometric yet If you Want To Keep Using Your ATM CARD 03228413221 Contact us.
fraud,your ATM Card has Been Blocked due to unusual attempts. Quickly contact on our number 03335432123.
fraud,This number is selected in the ARY jeeto Pakistan show for winning 7 lac cash and a 50-gram gold prize only WhatsApp us on this number 03257645677.
fraud,"AOA Dear Customer, for selling your Window, jam, and split AC. contact us on this number 03008027303."
fraud,Enter your information on the given link to win a Kisan Bhai mobile phone. Thank you https://bit.ly/3FYy3Ey
fraud,"In the Ehsaas aid program, you had SMSed 2086519 to 8171, your, 12000 aid will be approved, call Muhammad Shafiq right now at 03424142726 and WhatsApp."
fraud,"In jazz study welcome! here you will get the lectures from classes 1- 12, including short courses, language learning, and much morefor free just by downloading our Android App http://bit.ly/JazzP."
fraud,"from 8171, 12000 aid. congrats call 03447876931."
fraud,"for winning Benazir income support prizes like honda cars, money, and gold contact us at our number 0915467845."
fraud,"Hi, you have been selected to be work at home. Earn easily 660-3000 PKR per day, pls contact me:https://wa.me/923021719915"
fraud,"you have selected for part time job for work from home so you can easily earn upto $500, contact me on https://wa.me/030291717715"
fraud,"congrats you have selected a part-time job to work from home so you can easily earn up to $500, contact me on WhatsApp link https://wa.me/030291717715"
fraud,"your mobile number 03445678990 is selected, for the 5 canal house. congrats"
fraud,20000 aid is received from the organization. call 3447876771
fraud,The ATM Card has been closed because you have not updated If you want to keep using your ATM Card Call us at this 0423456123 Number.
fraud,"The Hbl Bank required your OTP when you are logging into your account. Share your OTP with us on call, or otherwise your ATM Card will be blocked.."
fraud,"Dear customer, you are selected for a prize bond which is 10 lac rupees call us at 0912345678.."
fraud,"If you want to be selected for the Bol Game show for winning 5 lac rupees cash, Kindly deposit 500 rupees on our Easypaisa account 03445676554."
fraud,"Your Mobile number 03112345667 is registered in BISP, you are awarded the amount of 45000 rupees. contact us back."
fraud,Ary jeeto Pakistan you will be the next winner. For winning 10 canal house deposit 2 lac rupees in our jazz cash account.
fraud,"congratulation you are selected for the 10-gram gold, 1 bike, and 2 lac rupees cash. contact us at our number 0912345678."
fraud,In Ary Digital Show You Are Selected by our Team For the Umrah Ticket With Your Family. contact us 0915678987.
fraud,"Work from home, you are successfully selected by our team for a data entry job. click on the below WhatsApp link https://wa.me/03336787665."
fraud,"In Ehsaas Aid Program, if you SMS Y to 8171, your aid, of 24000 will be approved, you can WhatsApp Muhammad Yunus at 03424230843"
fraud,"Rs 3,000 received on CNIC:3540483380751 sent from Easypaisa Mobile Account: Collect from Easypaisa Biometric Agent. TID: 016879907290"
fraud,Congragulation you have been selected for the most expensive gift which is Apple Macbook Air. Click on the below link. http://applemacbook.com/123455
fraud,"""Hey, it's Saba! Can you kindly send 500 rupees to my Easy Paisa number 030112233445?"""
fraud,"""Hi there, it's me, Saba! Could you please send 500 rupees to my Easy Paisa number 031234567890?"""
fraud,"""Hello, this is Saba. Could you assist by sending 500 rupees to my Easy Paisa number 032198765432?"""
fraud,"""Greetings, I'm Saba. Would you be so kind as to send 500 rupees to my Easy Paisa number 033333333333?"""
fraud,"""Hey, Saba here! Could you transfer 500 rupees to my Easy Paisa number 034500011122?"""
fraud,"""Hi, it's Saba speaking. Can you please send 500 rupees to my Easy Paisa number 035276841234?"""
fraud,"""Hello, this is Saba. I'd appreciate it if you could send 500 rupees to my Easy Paisa number 036987654321."""
fraud,"""Hi, I'm Saba. Kindly transfer 500 rupees to my Easy Paisa number 037112233445."""
fraud,"""Greetings, this is Saba. Could you send 500 rupees to my Easy Paisa number 038765432109?"""
